m,DATE ADDED,"AGE, SEX, PEDIGREE",TRAINER,INJURY,MOST RECENT RACE,NEXT RACE OR MAJOR GOAL,LAST ACTIVITY,,,,,,,,,,,,,,,
Our Destiny,,"4, f, Our Emblem - Secret Hills, by Secret Hello",R. Ziadie,Bred to War Front,,,,,,,,,,,,,,,,,,
Our Select,2009,"3, g, Pulpit - Magic Storm, by Storm Cat",M. Newell,Retired as jumper,,,,,,,,,,,,,,,,,,
Outer Drive,,"3, g, Buddha - Desert Girl, by Carson City",E. Estrada,"Fractured sesamoid (surgery) + Retired to Turning for Home Retirement Program, Pennsylvania + Show horse",,,,,,,,,,,,,,,,,,
Overanalyze,9/7/2013,"3, c, Dixie Union - Unacloud, by Unaccounted For",T. Pletcher,"Will stand stud in 2014 at WinStar Farm, Kentucky for $10,000
",,,,,,,,,,,,,,,,,,
Oxbow,7/29/2013,"3, c, Awesome Again - Tizamazing, by Cee's Tizzy",D. Lukas,"Wrenched right ankle + Will stand stud in 2014 at Taylor Made, Kentucky for $20,000",,,,,,,,,,,,,,,,,,
Paddy O'Prado,5/23/2011,"4, c, El Prado - Fun House, by Prized",D. Romans,"Fractured sesamoid bone right front ankle + Will stand stud in 2012 at Spendthrift Farm, Kentucky for $15,000",,,,,,,,,,,,,,,,,,
Palace Episode,1/1/2010,"7, h, Machiavellian - Palace Weekend, by Seattle Dancer",A. McKeever,"Will stand stud in 2010 at Haras du Logis, France for 4,500 euros",,,,,,,,,,,,,,,,,,
Palace On a Lake,,"4, f, Lido Palace - Madam Meadowlake, by Meadowlake",G. Preciado,"Retired to Turning for Home Retirement Program, Pennsylvania + Retired to farm in North Carolina",,,,,,,,,,,,,,,,,,
Panty Raid,5/21/2008,"4, f, Include - Adventurous Di, by Private Account",T. Pletcher,Torn Suspensory Ligament Right Foreleg - Broodmare,,,,,,,,,,,,,,,,,,
Papa Clem,1/23/2010,"4, c, Smart Strike - Miss Houdini, by Belong to Me",G. Stute,"Left front ankle, Will stand stud in 2010 at Legacy Ranch, California for $7,500",,,,,,,,,,,,,,,,,,
Papi Chullo,3/18/2009,"6, h, Comeonmom - Leggy Super Model, by Vigors",J. Imperio,"Chip front ankle, will stand stud in Jamaica",,,,,,,,,,,,,,,,,,
Parading,12/15/2009,"6, h, Pulpit - On Parade, by Storm Cat",C. McGaughey III,"Will stand stud in 2010 at Claiborne Farm, Kentucky for $3,500",,,,,,,,,,,,,,,,,,
Paradise Bound,1/13/2011,"5, m, Pulpit - Devotion Unbridled, by Unbridled",H. Motion,"Sold for $110,000 Keeneland January 2010 as broodmare prospect",,,,,,,,,,,,,,,,,,
Park Tavern,,"3, f, Gone West - Court Reception, by A.P. Indy",J. Catanese III,Bred to Songandaprayer,,,,,,,,,,,,,,,,,,
Parris Hill,,"5, m, A.P. Indy - Felicita, by Rubiano",J. Ambrosia,Bred to Distorted Humor,,,,,,,,,,,,,,,,,,
Passion for Gold,2013,"6, h, Medaglia d'Oro - C'Est L'Amour, by Thunder Gulch",S. bin Suroor,"Will stand stud in 2013 at Haras Puerta de Hierro, Chile",,,,,,,,,,,,,,,,,,
Patchen Prince,3/17/2010,"5, h, Pioneering - Patchen Beauty, by Hatchet Man",W. Connelly,Condylar fracture,,,,,,,,,,,,,,,,,,
Pathfork,4/7/2012,"4, c, Distorted Humor - Visions of Clarity, by Sadler's Wells",J. Sadler,Stud in South Africa in 2012,,,,,,,,,,,,,,,,,,
Patriot Act,1/1/2008,"6, h, A.P. Indy - Classic Value, by Copelan",N. Howard,Entered stud in 2008,,,,,,,,,,,,,,,,,,
Paynter,11/5/2013,"4, c, Awesome Again - Tizso, by Cee's Tizzy",B. Baffert,"Will stand stud in 2014 at WinStar Farm, Kentucky for $25,000
",,,,,,,,,,,,,,,,,,
Pays to Dream,6/9/2008,"4, g, High Yield - Changing Ways, by Time for a Change",D. Donk,Fractured Sesamoid Right Front Leg - Riding or Event Horse,,,,,,,,,,,,,,,,,,
Payton d'Oro,2011,"5, m, Medaglia d'Oro - Jealous and Jaded, by Jade Hunter",J. Jones,Broodmare,,,,,,,,,,,,,,,,,,
Pearling,2009,"3, f, Storm Cat - Mariah's Storm, by Rahy",J. Carroll,Broodmare,,,,,,,,,,,,,,,,,,
Peeping Fawn,8/2/2008,"4, f, Danehill - Maryinsky, by Sadler's Wells",A. O'Brien,"Retired, broodmare",,,,,,,,,,,,,,,,,,
Peep Show,,"3, f, Silver Deputy - Catch a Glimpse, by Gulch",E. Caramori,Broodmare,,,,,,,,,,,,,,,,,,
Peppers Pride,1/15/2009,"6, m, Desert God - Lady Pepper, by Chili Pepper Pie",J. Marr,"Broodmare at Richland Hills Farm in Kentucky, will be bred to Tiznow",,,,,,,,,,,,,,,,,,
Pepperup Potion,,"6, m, Captain Bodgit - Tusk, by Ferdinand",E. Oare,Bred to Invisible Ink,,,,,,,,,,,,,,,,,,
Perfect Drift,9/22/2008,"9, g, Dynaformer - Nice Gal, by Naskra",R. Mandella,Retired to Kentucky Derby museum,,,,,,,,,,,,,,,,,,
Perfect Forest,2008,"4, f, Forestry - Perfect Probe, by Mr. Prospector","M. Hennig
","Retired to New Vocations, Kentucky",,,,,,,,,,,,,,,,,,
Perfect Shirl,3/17/2012,"6, m, Perfect Soul - Lady Shirl, by That's a Nice",R. Attfield,"Cannon bone (surgery, three screws) + Undisclosed, Broodmare",,,,,,,,,,,,,,,,,,
Persuaded,,"4, f, Golden Missile - Enticed, by Stage Door Johnny",K. McPeek,Bred to Kipling,,,,,,,,,,,,,,,,,,
Pheodora,,"3, f, Macho Uno - Pelerine, by Majestic Light",,Bred to Alphabet Soup,,,,,,,,,,,,,,,,,,
Philadelphia Moon,,"3, f, Malibu Moon - Inside Story, by Moscow Ballet",R. Lively,Bred to Bandini,,,,,,,,,,,,,,,,,,
Philotimo,2011,"5, g, Sweetsouthernsaint - Potluck Dinner, by Pentelicus",S. Asmussen,Retired,,,,,,,,,,,,,,,,,,
Pictavia,11/2/2007,"6, m, Sinndar - Insijaam, by Secretariat",S. bin Suroor,"Front Leg - Broodmare, bred to Street Cry in 2009
",,,,,,,,,,,,,,,,,,
Pierro,4/20/2013,"4, c, Lonhro - Miss Right Note, by Daylami",G. Waterhouse,Retired to stud,,,,,,,,,,,,,,,,,,
Pioneering Song,1/1/2010,"5, h, Pioneering - Leapus Creek, by Little Missouri",H. Lopez,"Will stand stud in 2010 at Haras Nortenas, Puerto Rico",,,,,,,,,,,,,,,,,,
Pioneerof the Nile,7/9/2009,"3, c, Empire Maker - Star of Goshen, by Lord At War",B. Baffert,"Soft tissue injury left front leg - Will stand stud in 2010 at Vinery, Kentucky for $20,000",,,,,,,,,,,,,,,,,,
Pirate's Bid,2008,"6, g, Daufuskie Pirate - Timeless Bidder, by Timeless Moment",D. Moore,Retired as pleasure horse,,,,,,,,,,,,,,,,,,
Plan,,"5, h, Storm Cat - Spain, by Thunder Gulch",R. Dutrow Jr.,"Will stand stud in 2011 at Adena Springs, Kentucky for $5,000 ",,,,,,,,,,,,,,,,,,
Pleasant Ballerina,,"4, f, Read the Footnotes - Pleasant Wendi, by Katowice",T. Pompay,Bred to D'wildcat,,,,,,,,,,,,,,,,,,
Pleasant Hill,8/14/2008,"5, m, Pleasant Tap - Northern Destiny, by Crafty Prospector",G. Foley,"Fractured knee, broodmare in foal to Broken Vow",,,,,,,,,,,,,,,,,,
Pleasantly Blessed,2/22/2012,"8, m, Pleasant Tap - Bendecida, by Silver Ghost",S. Asmussen,Private purchase + Will be bred to Pure Prize in 2012,,,,,,,,,,,,,,,,,,
Pluck,4/12/2011,"4, c, More Than Ready - Secret Heart, by Fort Wood",H. Motion,"Bruised both hind cannon bones + Twisted colon (surgery) + Will stand stud at Vinery, Australia in 2012 for $11,000",,,,,,,,,,,,,,,,,,
Plum Pretty,2012,"4, f, Medaglia d'Oro - Liszy, by A.P. Indy",B. Baffert,"Injured + Sold for $4.2M Keeneland November, Broodmare",,,,,,,,,,,,,,,,,,
Point Determined,1/1/2010,"6, h, Point Given - Merengue, by Broad Brush",K. Ziadie,Stood first season at stud in 2009,,,,,,,,,,,,,,,,,,
Point Encounter,1/13/2009,"7, h, Point Given - Rita Rucker, by Dmitri",C. Gaines,"Soft tissue + Will stand stud in 2013 at Running Horse Equine Training Center, California ",,,,,,,,,,,,,,,,,,
Point of Entry,11/6/2013,"5, h, Dynaformer - Matlacha Pass, by Seeking the Gold",C. McGaughey III,"Will stand stud in 2014 at Adena Springs Farm, Kentucky",,,,,,,,,,,,,,,,,,
Points of Grace,11/12/2010,"5, m, Point Given - Fateful, by Topsider",M. Pierce,Broodmare,,,,,,,,,,,,,,,,,,
Point to Ponder, ,"6, m, Arrested - Silver Frost, by Alaskan Frost",M. Wayar,"Fractured knee, Retired to Beauty's Haven Farm and Equine Rescue, Florida",,,,,,,,,,,,,,,,,,
Poivre's Girl,2011,"4, f, Good and Tough - Poivre, by Manos de Piedra",D. Cannizzo,"Retired to ReRun, North Carolina",,,,,,,,,,,,,,,,,,
Poof Too,5/25/2012,"4, f, Distorted Humor - Showpiece, by Holy Bull",M. Frostad,"Fractured sesamoid, Broodmare",,,,,,,,,,,,,,,,,,
Portobello Road ,1/1/2010,"5, h, Storm Cat - Sky Beauty, by Blushing Groom",D. Lukas,Stood first season at stud in 2009,,,,,,,,,,,,,,,,,,
Portside,11/18/2011,"3, f, Congrats - Port Isabel, by Time to Explode",B. Minshall,Bred to Shellscape in Australia in 2011,,,,,,,,,,,,,,,,,,
Position Limit,9/13/2010,"2, f, Bellamy Road - Payable On Demand, by Out of Place",T. Pletcher,"Chips right hind ankle (surgery) + Sold for $400,000 to Adena Springs as ""Racing/Broodmare Prospect""",,,,,,,,,,,,,,,,,,
Potenial Plus,2012,"3, g, Noble Causeway - Kara Young, by Gulch ",M. Miller,Retired to New Vocations,,,,,,,,,,,,,,,,,,
Potesta,2012,"3, f, Macho Uno - Katzen, by Furiously",M. Mitchell,Bred to Speightstown in 2013,,,,,,,,,,,,,,,,,,
Pour Moi,8/27/2011,"3, c, Montjeu - Gwynn, by Darshaan",A. Fabre,"Severe over reach near fore fetlock + Will stand stud in 2012 at Coolmore, Ireland",,,,,,,,,,,,,,,,,,
Power,2012,"3, c, Oasis Dream - Frappe, by Inchinor",A. O'Brien,"Will stand stud in 2013 at Coolmore, Ireland",,,,,,,,,,,,,,,,,,
Prairie Township,,"2, f, Smarty Jones - Hold to Fashion, by Hold Your Peace",,Bred to Rock Hard Ten,,,,,,,,,,,,,,,,,,
Precious Kitten,12/2/2008,"5, m, Catienus - Kitten's First, by Lear Fan",R. Frankel,Bred to Street Cry in 2009,,,,,,,,,,,,,,,,,,
Predatory Pricer,9/23/2010,"5, h, Street Cry - Shady Stream, by Archregent",P. Murray,Infected hind tendon + Passed away from colic prior to standing stud,,,,,,,,,,,,,,,,,,
Presious Passion,6/14/2012,"9, g, Royal Anthem - Princesa's Passion, by Marquetry",M. Hartmann,Retired to farm in Florida,,,,,,,,,,,,,,,,,,
Pretty Amazing, ,"3, f, Benchmark - Perfectly Pretty, by Bertrando",H. Dominguez,Bred to Dixie Chatter in 2010,,,,,,,,,,,,,,,,,,
Pretty Boy Freud,2/15/2012,"6, g, Freud - The Midnightrobber, by Talinum",L. O'Brien,"Fractured sesamoid left foreleg, Retired to farm",,,,,,,,,,,,,,,,,,
Pretty Jenny,11/27/2008,"6, m, Pioneering - Catching a Buzz, by Distinctive",C. Janks,"Retired, broodmare",,,,,,,,,,,,,,,,,,
Pride,,"3, f, Lion Heart - Coffee Springs, by Crafty Prospector",T. Pletcher,Bred to Proud Citizen,,,,,,,,,,,,,,,,,,
Pride Dancer,2013,"7, m, Fasliyev - Liwana, by Rainbow Quest",E. Navarro,Consigned as broodmare prospect    ,,,,,,,,,,,,,,,,,,
Pride of Pegasus,,"4, f, Fusaichi Pegasus - Alpride, by Alzao",R. McAnally,Broodmare,,,,,,,,,,,,,,,,,,
Princess Arabella,4/19/2012,"3, f, Any Given Saturday - Tortuga Lady, by Thunder Gulch",B. Baffert,Soft-tissue (no surgery) + Broodmare,,,,,,,,,,,,,,,,,,
Prince Atlantis,,"6, g, Stormy Atlantic - Monica, by West by West",M. Mollica,Non-displaced sesamoid injury + Adopted via CANTER,,,,,,,,,,,,,,,,,,
Princess Coup,1/6/2009,"6, m, Encosta de Lago - Stoney Fell Road, by Sovereign Red",M. Walker,"Heat tendon, broodmare in Australasia",,,,,,,,,,,,,,,,,,
Princess Janie,,"5, m, Elusive Quality - Petite Princess, by Dayjur",C. Gambolati,Bred to Harlan's Holiday in 2009,,,,,,,,,,,,,,,,,,
Private Indeed,,"7, m, Unaccounted For - Creditors Belle, by Diamond Shoal",J. Runco,Broodmare,,,,,,,,,,,,,,,,,,
Private Lap,,,S. Klesaris,"Stands for $2,000 stud fee at Atalanta Acres in Indiana",,,,,,,,,,,,,,,,,,
Profitability,1/11/2011,"6, m, Cherokee Run - Lucrative, by Seeking the Gold",D. McFarlane,"Sold for $80,000 as broodmare prospect January 2011",,,,,,,,,,,,,,,,,,
Proper Authority,,"4, g, Silver Deputy - Vow That Binds, by Miswaki",H. Motion,"Adopted from Maker's Mark Secretariat Center, Kentucky",,,,,,,,,,,,,,,,,,
Prosico,2012,"9, g, Siphon - Timely Quarrel, by Time for a Change",R. Burch,Retired to New Vocations Racehorse Adoption Program,,,,,,,,,,,,,,,,,,
Prospective,9/9/2013,"4, c, Malibu Moon - Spirited Away, by Awesome Again",M. Casse,Stud?,,,,,,,,,,,,,,,,,,
Proud Lucy,,"3, f, Proud Accolade - Flirting Miss, by Sovereign Dancer",A. Allen III,Consigned as broodmare prospect OBS Fall 2010,,,,,,,,,,,,,,,,,,
Proud Mover,,"3, f, Proud Citizen - Fast Mover, by Theatrical",W. Ward,Bred to Kitten's Joy,,,,,,,,,,,,,,,,,,
Proud Spell,3/31/2009,"4, f, Proud Citizen - Pacific Spell, by Langfuhr",J. Jones,"Swelling left hind ankle, bred to Indian Charlie
",,,,,,,,,,,,,,,,,,
Proud Tower Too,7/31/2008,"7, h, Proud Irish - Dora's Tower, by Proud Tower",S. Gonzalez,"Tendon, bred to 18 mares, back in training, filling tendon, will stand at Tricar Stud in New Mexico
",,,,,,,,,,,,,,,,,,
Proviso,11/8/2010,"5, m, Dansili - Binche, by Woodman",W. Mott,Broodmare,,,,,,,,,,,,,,,,,,
Publication,,,V. Cerin,Gelding retires sound,,,,,,,,,,,,,,,,,,
Pubrun,,"4, f, Devil His Due - Cervoise, by Beau Sultan",S. Lake,"Retired to Turning for Home Retirement Program, Pennsylvania",,,,,,,,,,,,,,,,,,
Pumped,1/10/2011,"7, m, Petionville - Mighty Might, by Runaway Groom",R. Preciado,"Retired to Turning for Home Retirement Program, Pennsylvania",,,,,,,,,,,,,,,,,,
Pure Clan,5/7/2010,"5, m, Pure Prize - Gather the Clan, by General Assembly",R. Holthus,"Bruised left front foot (has been refusing to train, sent to Rood and Riddle Equine Clinic, Turned out, Aquatic therapy) + Broodmare",,,,,,,,,,,,,,,,,,
Pussycat Doll,2/6/2008,"6, m, Real Quiet - Hookedonthefeelin, by Citidancer",B. Baffert,"Foot Abscess, broodmare, bred to Ghostazapper
",,,,,,,,,,,,,,,,,,
Pyro,11/30/2009,"4, c, Pulpit - Wild Vision, by Wild Again",S. bin Suroor,"Will stand stud in 2010 at Darley Japan Stallion Complex, Japan for 2,000,000 yen",,,,,,,,,,,,,,,,,,
Quality Road,11/12/2010,"4, c, Elusive Quality - Kobla, by Strawberry Road",T. Pletcher,"Will stand stud in 2011 at Lane's End Farm, Kentucky for $35,000",,,,,,,,,,,,,,,,,,
Queen of the Bayou,2011,"3, f, K One King - Smarter Is Better, by Beau Genius",M. Burgess,Bred to My Pal Charlie in 2012,,,,,,,,,,,,,,,,,,
Queen's Bay,,"3, f, Sligo Bay - Silent Silver, by Real Quiet",,Bred to Olmodavor,,,,,,,,,,,,,,,,,,
Queen Stephanie,2009,"4, f, Proud Citizen - All Royal, by Kris S.",M. Maker,Broodmare,,,,,,,,,,,,,,,,,,
Quelle Amore,1/1/2008,"5, m, Monsun - Quelle Amie, by Beau Genius",A. Wohler,Broodmare,,,,,,,,,,,,,,,,,,
Questing,1/11/2013,"4, f, Hard Spun - Chercheuse, by Seeking the Gold",K. McLaughlin,"Chip hind ankle (surgery) + Pneumonia, Will be bred in 2013 to Bernardini",,,,,,,,,,,,,,,,,,
Quickandquietqueen,,"4, f, Quiet American - St. Diva, by Devil's Bag",T. Yakteen,Bred to Mineshaft,,,,,,,,,,,,,,,,,,
Quick Arrival,,"4, f, Storm Cat - Quick to Please, by Danzie",,Broodmare,,,,,,,,,,,,,,,,,,
Quick Shooter,2011,"5, g, Red Bullet - Symphonious, by Hennessy",J. Radosevich,"Retired to New Vocations, Kentucky",,,,,,,,,,,,,,,,,,
Quiet Giant,10/7/2011,"6, m, Giant's Causeway - Quiet Dance, by Quiet American",T. Pletcher,"Minor Setback (C. Baker, Farm Manager for Ned Evans) + Sold for $3M Keeneland November 2011 + Bred to Candy Ride in 2012",,,,,,,,,,,,,,,,,,
Quiet Grace,,"3, f, Quiet American - Di Grazia Girl, by Top Account",P. Lobo,Bred to Purge,,,,,,,,,,,,,,,,,,
Quiet Now,2008,"3, f, Tiznow - Quiet Dance, by Quiet American",T. Pletcher,Broodmare,,,,,,,,,,,,,,,,,,
Rabih,1/1/2010,"4, c, Sky Mesa - Alida, by Theatrical",M. Pino,Stood first season at stud in 2009,,,,,,,,,,,,,,,,,,
Rachel Alexandra,9/28/2010,"4, f, Medaglia d'Oro - Lotta Kim, by Roar",S. Asmussen,Will be bred to Curlin in 2011,,,,,,,,,,,,,,,,,,
Rags to Riches,10/2/2007,"4, f, A.P. Indy - Better Than Honour, by Deputy Minister",T. Pletcher,Hairline Fracture Pastern - Broodmare - will be bred to Giant's Causeway,,,,,,,,,,,,,,,,,,
Rah Rah Girl,,"5, m, Coronado's Quest - Duck Trap, by Affirmed",D. Danner,Bred to Crafty Shaw,,,,,,,,,,,,,,,,,,
Rahy's Attorney,8/16/2011,"7, g, Crown Attorney - Rahy's Hope, by Rahy",I. Black,Filling left pastern + Track pony,,,,,,,,,,,,,,,,,,
Rahystrada,10/25/2013,"9, g, Rahy - Ministrada, by Deputy Minister",B. Hughes,"Retired to Stonebridge Farm, Kentucky",,,,,,,,,,,,,,,,,,
Rail Trip,1/3/2014,"9, g, Jump Start - Sweet Trip, by Carson City",R. Ellis,"Retired to Old Friends, Kentucky",,,,,,,,,,,,,,,,,,
Rainbow's Song,2010,"5, m, Unbridled's Song - Rainbow Promise, by Known Fact",P. Gallagher,Broodmare,,,,,,,,,,,,,,,,,,
Ramonti,7/25/2008,"5, h, Martino Alonso - Fosca, by El Gran Senor",S. bin Suroor,"Hind leg, stands stud at Kildangan Stud, Ireland
",,,,,,,,,,,,,,,,,,
Ranger of Danger,,"3, g, Honour and Glory - Hereafter, by Dehere",R. Preciado,"Retired to Turning for Home Retirement Program, Pennsylvania, Training to be a show horse",,,,,,,,,,,,,,,,,,
Rapid Redux,2012,"6, g, Pleasantly Perfect - Thiscatsforcaryl, by Storm Cat",D. Wells,"Retired to Old Friends, Kentucky",,,,,,,,,,,,,,,,,,
Rattlesnake Bridge,11/20/2013,"5, h, Tapit - Prall Street, by Cherokee Run",K. McLaughlin,"Will stand stud at Hartley/De Renzo Thoroughbreds, Florida for $7,500",,,,,,,,,,,,,,,,,,
Raven's Pass,11/7/2008,"3, c, Elusive Quality - Ascutney, by Lord At War",J. Gosden,"Stands stud at Kildangan Stud, Ireland for 40,000 euros",,,,,,,,,,,,,,,,,,
Raw Silk,9/18/2009,"4, f, Malibu Moon - Silken Sash, by Danehill",T. Albertrani,Broodmare,,,,,,,,,,,,,,,,,,
R Betty Graybull,7/5/2011,"5, m, Holy Bull - Hey Darla, by Evansville Slew",L. White,Inflamed ankle + Bred to Awesome Again in 2012,,,,,,,,,,,,,,,,,,
Ready's Image,10/30/2008,"3, c, More Than Ready - Clever Phrase, by Clever Trick",T. Pletcher,"Stands stud at Walmac Farm, Kentucky for $12,500",,,,,,,,,,,,,,,,,,
Ready's Rocket,5/22/2012,"10, g, More Than Ready - Serene Delight, by El Gran Senor",T. Glyshaw,Soft-tissue right front ankle + Retired to Old Friends Farm,,,,,,,,,,,,,,,,,,
Ready to Dream,,"3, f, More Than Ready - Marry Me Scarlett, by Dixie Brass",F. Stites,Bred to Fairbanks,,,,,,,,,,,,,,,,,,
Real Dandy,1/1/2010,"8, h, Yankee Victor - Berga, by Jade Hunter",S. Asmussen,"Will stand stud in 2010 at Weatherly Horse Farms, New Mexico",,,,,,,,,,,,,,,,,,
Rebellion,1/1/2010,"7, h, Mozart - Last Resort, by Lahib",H. Motion,"Will stand stud in 2010 at Norse Ridge Farm, Ontario for $3,500",,,,,,,,,,,,,,,,,,
Recap,12/30/2011,"4, c, Storm Cat - Tranquility Lake, by Rahy",J. Shirreffs,"Will stand stud in 2012 at Ballena Vista Farm, California for Complimentary fee",,,,,,,,,,,,,,,,,,
Receipt,2009,"4, f, Dynaformer - Finder's Fee, by Storm Cat",C. McGaughey III,Bred to Lemon Drop Kid in 2009,,,,,,,,,,,,,,,,,,
Recital,2013,"5, h, Montjeu - Dibenoise, by Kendor",A. O'Brien,Stud in Ireland,,,,,,,,,,,,,,,,,,
Red At Nite,2011,"7, g, Island Storm - Our Side Out, by Topsider",H. Harris,Retired to New Vocations,,,,,,,,,,,,,,,,,,
Redding Colliery,1/25/2013,"7, h, Mineshaft - Joop, by Zilzal",K. McLaughlin,"Will stand stud in 2013 at Red River Farms, Louisiana for $2,000",,,,,,,,,,,,,,,,,,
Red Giant,7/30/2008,"4, c, Giant's Causeway - Beyond the Sun, by Kingmambo",T. Pletcher,"Temperature - Stands stud at Hill 'n' Dale Farm, Kentucky for $7,500",,,,,,,,,,,,,,,,,,
Red Miah,,"11, g, Concorde's Tune - Call Me Golden, by Fountain of Gold",C. McKenney,"Retired to Plymouth County Sheriff's Farm, Massachusetts
",,,,,,,,,,,,,,,,,,
Red Rocks,11/9/2009,"6, h, Galileo - Pharmacist, by Machiavellian",B. Meehan,Will stand stud in 2010 at Allevamento Il Grifone in Italy,,,,,,,,,,,,,,,,,,
Regal Corona,2011,"6, g, Regal Intention - Mona Corona, by Three Martinis",R. VanOverschot,"Retired to New Stride Thoroughbred Adoption Society, British Columbia",,,,,,,,,,,,,,,,,,
Regal Ransom,10/26/2011,"5, h, Distorted Humor - Kelli's Ransom, by Red Ransom",S. bin Suroor,"Will stand stud in 2012 at Jonabell Farm, Kentucky for $7,500",,,,,,,,,,,,,,,,,,
Relato del Gato,1/1/2010,"9, h, Tale of the Cat - Sole, by Topsider",W. McConnell,"Will stand stud in 2010 at Cohn Farm, New York",,,,,,,,,,,,,,,,,,
Rendezvous,12/18/2011,"5, h, Victory Gallop - Halo Babe, by Southern Halo",J. Hollendorfer,"Will stand stud in 2012 at Daehling Ranch, California for $1,500",,,,,,,,,,,,,,,,,,
Reproduction,2012,"4, f, Smarty Jones - Perfect Copy, by Deputy Minister",J. Lostritto,"New Vocations, Ohio",,,,,,,,,,,,,,,,,,
Restless Angel,,"4, f, Fusaichi Pegasus - Latour, by French Deputy",M. Nihei,Bred to Magna Graduate,,,,,,,,,,,,,,,,,,
Revved Up,6/5/2009,"11, g, Sultry Song - Win Approval, by With Approval",C. Clement,"Retired to pasture at Live Oak Plantation in Ocala, Florida",,,,,,,,,,,,,,,,,,
Rgirldoesn'tbluff,,"5, m, Pine Bluff - Chasing Wind, by Mining",K. Ziadie,Bred to Medaglia d'Oro,,,,,,,,,,,,,,,,,,
R Heat Lightning,5/2/2011,"5, m, Trippi - Yellow Heat, by Gold Fever",T. Pletcher,Chip right front knee (surgery) + Bred to Medaglia d'Oro in 2012,,,,,,,,,,,,,,,,,,
Rhythm of Light,3/12/2013,"6, m, Beat Hollow - Luminda, by Danehill",T. Dascombe/S. Callaghan,"Ankle + Sold for $350,000 as broodmare prospect to Japan",,,,,,,,,,,,,,,,,,
Rightful Image,1/25/2013,"6, g, Southern Image - Wawasee, by Salt Lake",M. Machowsky,"Suspensory injury, Riding horse",,,,,,,,,,,,,,,,,,
Rigoletta,3/25/2011,"3, f, Concerto - Almost Aprom Queen, by Montbrook",D. Hendricks,"Tendon, Broodmare",,,,,,,,,,,,,,,,,,
Rip Van Winkle,10/19/2010,"4, c, Galileo - Looking Back, by Stravinsky",A. O'Brien,"Undisclosed + Will stand stud in 2011 at Coolmore Stud, Ireland",,,,,,,,,,,,,,,,,,
Rivergrade Boy,12/24/2009,"4, c, Grand Slam - O K to Dance, by With Approval",C. Dominguez,"Will stand stud in 2010 at Lovacres Ranch, California for $2,500",,,,,,,,,,,,,,,,,,
River Kiss,2/8/2013,"4, f, Awesome Gambler - River Cutie, by Rio Verde",D. O'Neill,Will be bred to Hard Spun in 2013,,,,,,,,,,,,,,,,,,
Road Ruler,1/1/2010,"8, h, Unbridled's Song - Stephanie's Road, by Strawberry Road",R. Gustafson,"Will stand stud in 2010 at Jake E. Bryant Farms, Illinois for $2,000",,,,,,,,,,,,,,,,,,
Roan Inish,8/11/2010,"5, m, Elusive Quality - Inish Glora, by Regal Classic",C. Costigan,"Torn tendon, Arthritis + Bred to Arch in 2012",,,,,,,,,,,,,,,,,,
Robi Jo,4/24/2012,"3, f, Lemon Drop Kid - Lord Remember Me, by Lord At War",J. Jones,Tendon + Bred to Proud Citizen in 2012,,,,,,,,,,,,,,,,,,
Rocky Gulch,12/15/2008,"7, g, Dry Gulch - Rona Prospect, by Allen's Prospect",T. Walker,Retired,,,,,,,,,,,,,,,,,,
Rodman,2/27/2012,"7, h, Malibu Moon - Crystal Gem, by Affirmed",M. Hushion/M. Mitchell,"Suspensory + Will stand stud in 2012 at CloverLeaf Farms II, Florida for $2,500",,,,,,,,,,,,,,,,,,
Roi Charmant,10/22/2009,"8, h, Evansville Slew - Cantina, by Seattle Dancer",E. Truman,"Will stand stud in 2010 at Victory Rose Thoroughbreds, California for $1,000",,,,,,,,,,,,,,,,,,
Romance is Diane,1/19/2009,"5, m, In Excess - Romantic Fibs, by Prized",M. Mitchell,"Minor injury, bred to Ghostzapper",,,,,,,,,,,,,,,,,,
Romance Writer,,"3, f, Bertrando - American Saga, by Tale of the Cat",C. Sise Jr.,Bred to Dixie Chatter in 2010,,,,,,,,,,,,,,,,,,
Rosberg,6/5/2009,"8, h, A.P. Indy - Bosra Sham, by Woodman",D. Condilenios,Stands stud at Canmor Farms in Canada,,,,,,,,,,,,,,,,,,
Rose Kingdom,6/8/2013,"6, h, King Kamehameha - Rosebud, by Sunday Silence",K. Hashiguchi,Stud in Japan,,,,,,,,,,,,,,,,,,
Rosy Roads of Gold,,"4, f, Cloud Hopping - Rachael's Reward, by Lil E. Tee",W. Melendez,"Resides at Pure Thoughts Off Track Thoroughbred Rehab and Placement Division
",,,,,,,,,,,,,,,,,,
Roxy Gap,11/17/2013,"5, m, Indian Charlie - Harts Gap, by Saint Ballado",M. Casse,Will be bred to Speightstown in 2014,,,,,,,,,,,,,,,,,,
Royal Aly,,"6, m, Royal Academy - Empress Aly, by Alydar",S. Lake,Bred to Suave,,,,,,,,,,,,,,,,,,
Royal Credit,2012,"4, g, Yes It's True - Debit Or Credit, by Cat Thief",A. Tarrant,"Sickness, Digestive Problems, Retired to Second Call, New Jersey",,,,,,,,,,,,,,,,,,
Royal Memory,12/18/2011,"7, h, Royal Academy - Memorable Moment, by Secretariat",G. Gross,"Will stand stud in 2012 at SK Racing Stable, California for Private fee",,,,,,,,,,,,,,,,,,
